Stock,Sector,Latest_Price,Highest_Price,Lowest_Price,Daily_Volatility,Annualized_Volatility,Annualized_Return,Maximum_Drawdown,Sharpe_Ratio,Average_Volume
SBIN,Banking,1034.5,1234.7,802.65,0.014645024827661966,0.23248256183016078,0.2834191427330812,-0.2348916761687571,0.9610146282554267,12255261.996031746
SUNPHARMA,Healthcare,1929.0,2046.9,1548.0,0.012090956029092437,0.19193797659597378,0.23392822874688157,-0.13228870932518016,0.906168918895074,2617217.134920635
AXISBANK,Banking,1258.0,1418.3,1045.0,0.015277659889895977,0.24252533210214716,0.18511540273198301,-0.17227369921596583,0.5158859144630992,6589166.055555556
LT,Industrials,3980.1,4440.0,3288.1,0.015588510251253018,0.2474599286087789,0.10607492218763892,-0.24347570222493836,0.18619144702203863,2199227.976190476
ICICIBANK,Banking,1438.0,1480.0,1187.6,0.012003886975397988,0.19055579821818236,0.019135364989369297,-0.1608211551844119,-0.21444970655703458,13678527.555555556
RELIANCE,Energy,1309.0,1611.8,1249.8,0.01271870602271582,0.2019031988078729,-0.033163453726272274,-0.2094454562582428,-0.4614263383460545,13452591.888888888
MARUTI,Automobile,12950.0,17370.0,12201.0,0.014735430639773884,0.23391770960569858,-0.13011352186471414,-0.2883414295628036,-0.8127367619372531,435550.09126984124
INFY,IT,1156.0,1728.0,982.4,0.018820393534871957,0.29876448521783416,-0.2290249433106576,-0.4169132441709078,-0.9674006035219503,11190054.103174603
TCS,IT,2369.0,3350.0,1976.8,0.017604922552199115,0.27946948154202833,-0.2388999550215254,-0.4037113898162351,-1.0695262801944798,3701447.7023809524
HDFCBANK,Banking,711.9,1020.5,698.5,0.013177222302456448,0.20918191909748227,-0.2511045655375552,-0.2976721149083705,-1.4872440547434471,30491099.535714287
ITC,FMCG,266.6,427.0,255.5,0.012923006633851626,0.20514637046645606,-0.3431070592583466,-0.3939753320683112,-1.964972903696873,18196356.365079366
